"Bolting_Class_Desc__c","Brand__c","CDC_Ext_ID__c","CSSUM__c","HCLASS__c","HIC_Desc__c","HIC__c","HOC_Desc__c","HOC__c","Holder_Type__c","MaxRatingPSIG__c","Max_Pressure__c","Name","PTC__c","SZC_Desc__c","SZC__c","TempLL__c","TempUL__c"
"150# ASME Bolting","CDC","1839","Metric","A1","None","N","None","N","KBA Insert","80.0","80.0","HD# 0173375","KBI","(10"") 250mm","1000","700.0","800.0"
"900/1500# ASME Bolting","CDC","1840","Metric","A5","None","N","None","N","MX-9T Insert","2390.0","2390.0","HD# 0173376","M9I","(1"") 25mm","0100","400.0","500.0"
"300/600# ASME Bolting","LaMOT","1841","US Units","A3","Welded","W","Welded","W","FA Bolted (LaMOT)","870.0","870.0","HD# 0173377","LF6","1-1/2"" (40mm)","0108","600.0","700.0"
"150# ASME Bolting","LaMOT","1842","Metric","A1","Flat","F","Threaded","T","FA Bolted (LaMOT)","50.0","50.0","HD# 0173378","LF8","(1-1/2"") 40mm","0108","800.0","900.0"
"150# ASME Bolting","CDC","1843","Metric","A1","Flanged","L","Threaded","T","Clean Sweep (LL)","215.0","215.0","HD# 0173379","CS8","(1-1/2"") 40mm","0108","200.0","300.0"
"900/1500# ASME Bolting","LaMOT","1844","Metric","A5","Welded","W","Threaded","T","FA Bolted (LaMOT)","2170.0","2170.0","HD# 0173380","LF5","(1-1/2"") 40mm","0108","600.0","700.0"
"PN 25 DIN Bolting","CDC","1845","Metric","D4","None","N","None","N","RCS Insert","303.0","303.0","HD# 0173381","RCI","(10"") 250mm","1000","300.0","400.0"
"PN 10/40 DIN Bolting","CDC","1846","Metric","D5","None","N","None","N","MX-9T Insert","407.0","407.0","HD# 0173382","M9I","(1"") 25mm","0100","600.0","700.0"
"600# ASME Bolting","LaMOT","1847","US Units","A3","Welded","W","Threaded","T","Bolted (LL) (LaMOT)","900.0","900.0","HD# 0173383","LL5","3"" (80mm)","0300","500.0","600.0"
"300# ASME Bolting","CDC","1848","US Units","A2","None","N","None","N","KBA Insert","620.0","620.0","HD# 0173384","KBI","10"" (250mm)","1000","100.0","200.0"
